customer_id,email,first_name,last_name,city,source_system,ingestion_ts
1,user1@test.com,Name1,Surname1,Birmingham,instagram,2025-01-02 14:45:00
2,user2@test.com,Name2,Surname2,,facebook,2025-01-04 03:18:00
3,user3@test.com,Name3,Surname3,,linkedin,2025-01-10 03:39:00
4,user4@test.com,Name4,Surname4,,google,2025-01-12 18:59:00
5,user5@test.com,Name5,Surname5,Liverpool,linkedin,2025-01-09 15:50:00
6,user6@test.com,Name6,Surname6,Birmingham,google,2025-01-11 23:59:00
7,user7@test.com,Name7,Surname7,Birmingham,facebook,2025-01-11 07:19:00
8,user8@test.com,Name8,Surname8,Bristol,instagram,2025-01-09 04:39:00
9,user9@test.com,Name9,Surname9,,twitter,2025-01-08 18:23:00
10,user10@test.com,Name10,Surname10,Leeds,facebook,2025-01-10 12:02:00
11,user11@test.com,Name11,Surname11,Leeds,facebook,2025-01-01 13:18:00
12,user12@test.com,Name12,Surname12,Liverpool,instagram,2025-01-15 03:58:00
13,user13@test.com,Name13,Surname13,Liverpool,facebook,2025-01-05 19:52:00
14,user14@test.com,Name14,Surname14,Manchester,twitter,2025-01-04 12:29:00
15,user15@test.com,Name15,Surname15,Manchester,facebook,2025-01-03 19:22:00
16,user16@test.com,Name16,Surname16,Birmingham,google,2025-01-04 18:02:00
17,user17@test.com,Name17,Surname17,Edinburgh,twitter,2025-01-14 01:20:00
18,user18@test.com,Name18,Surname18,,twitter,2025-01-04 17:27:00
19,user19@test.com,,Surname19,,facebook,2025-01-02 01:30:00
20,user20@test.com,Name20,Surname20,Bristol,instagram,2025-01-09 00:17:00
21,user21@test.com,Name21,Surname21,Liverpool,linkedin,2025-01-03 07:33:00
22,user22@test.com,Name22,Surname22,London,linkedin,2025-01-12 00:19:00
23,user23@test.com,Name23,Surname23,Birmingham,google,2025-01-06 10:15:00
24,user24@test.com,Name24,Surname24,London,facebook,2025-01-06 04:55:00
25,user25@test.com,Name25,Surname25,London,linkedin,2025-01-08 17:07:00
26,user26@test.com,Name26,,London,twitter,2025-01-13 17:13:00
27,user27@test.com,Name27,Surname27,Birmingham,twitter,2025-01-14 14:19:00
28,user28@test.com,Name28,Surname28,Edinburgh,linkedin,2025-01-06 19:54:00
29,user29@test.com,Name29,Surname29,Liverpool,linkedin,2025-01-09 22:45:00
30,user30@test.com,,Surname30,Edinburgh,instagram,2025-01-05 11:05:00
31,user31@test.com,Name31,,Edinburgh,google,2025-01-10 09:59:00
32,user32@test.com,,Surname32,Bristol,linkedin,2025-01-01 16:57:00
33,user33@test.com,Name33,Surname33,London,google,2025-01-09 06:24:00
34,user34@test.com,Name34,Surname34,Liverpool,facebook,2025-01-12 15:17:00
35,user35@test.com,Name35,Surname35,Edinburgh,facebook,2025-01-14 07:56:00
36,user36@test.com,Name36,Surname36,Edinburgh,facebook,2025-01-05 22:11:00
37,user37@test.com,Name37,Surname37,,instagram,2025-01-11 10:24:00
38,user38@test.com,Name38,Surname38,Liverpool,instagram,2025-01-09 07:40:00
39,user39@test.com,Name39,,,instagram,2025-01-12 09:47:00
40,user40@test.com,,Surname40,Manchester,instagram,2025-01-08 06:37:00
41,user41@test.com,Name41,Surname41,Birmingham,instagram,2025-01-09 13:24:00
42,user42@test.com,Name42,Surname42,Liverpool,google,2025-01-05 14:58:00
43,user43@test.com,Name43,Surname43,Birmingham,google,2025-01-06 07:50:00
44,user44@test.com,Name44,Surname44,Liverpool,instagram,2025-01-05 21:36:00
45,user45@test.com,Name45,Surname45,Birmingham,linkedin,2025-01-07 03:31:00
46,user46@test.com,Name46,Surname46,Leeds,twitter,2025-01-06 18:11:00
47,user47@test.com,Name47,Surname47,Liverpool,google,2025-01-10 11:20:00
48,user48@test.com,Name48,Surname48,Leeds,facebook,2025-01-09 11:05:00
49,user49@test.com,Name49,Surname49,Edinburgh,google,2025-01-03 19:28:00
50,user50@test.com,Name50,Surname50,,facebook,2025-01-06 01:27:00
51,user51@test.com,Name51,Surname51,Edinburgh,linkedin,2025-01-10 20:59:00
52,user52@test.com,Name52,Surname52,Manchester,twitter,2025-01-10 19:11:00
53,user53@test.com,Name53,Surname53,London,instagram,2025-01-07 12:30:00
54,user54@test.com,Name54,Surname54,Birmingham,facebook,2025-01-02 03:43:00
55,user55@test.com,Name55,,Birmingham,instagram,2025-01-09 13:02:00
56,user56@test.com,Name56,Surname56,Leeds,facebook,2025-01-12 07:15:00
57,user57@test.com,Name57,Surname57,Birmingham,facebook,2025-01-11 01:08:00
58,user58@test.com,Name58,,Liverpool,google,2025-01-07 11:49:00
59,user59@test.com,Name59,Surname59,London,twitter,2025-01-10 12:32:00
60,user60@test.com,Name60,Surname60,Manchester,twitter,2025-01-11 03:49:00
61,user61@test.com,Name61,Surname61,Manchester,facebook,2025-01-14 20:35:00
62,user62@test.com,Name62,Surname62,Manchester,facebook,2025-01-02 00:57:00
63,user63@test.com,Name63,Surname63,London,instagram,2025-01-02 06:09:00
64,user64@test.com,Name64,Surname64,Bristol,linkedin,2025-01-11 14:11:00
65,user65@test.com,Name65,Surname65,Bristol,linkedin,2025-01-06 15:10:00
66,user66@test.com,Name66,Surname66,,twitter,2025-01-01 09:15:00
67,user67@test.com,Name67,Surname67,,twitter,2025-01-11 04:01:00
68,user68@test.com,Name68,Surname68,Birmingham,facebook,2025-01-10 14:58:00
69,user69@test.com,Name69,Surname69,Manchester,instagram,2025-01-11 13:19:00
70,user70@test.com,,Surname70,Leeds,instagram,2025-01-10 06:30:00
71,user71@test.com,Name71,Surname71,Liverpool,google,2025-01-07 01:57:00
72,user72@test.com,Name72,Surname72,,google,2025-01-03 06:35:00
73,user73@test.com,Name73,Surname73,Edinburgh,linkedin,2025-01-15 00:14:00
74,user74@test.com,Name74,Surname74,Bristol,google,2025-01-03 08:44:00
75,user75@test.com,Name75,Surname75,,twitter,2025-01-12 02:55:00
76,user76@test.com,Name76,Surname76,Bristol,linkedin,2025-01-01 08:19:00
77,user77@test.com,Name77,Surname77,London,facebook,2025-01-02 13:48:00
78,user78@test.com,Name78,Surname78,,linkedin,2025-01-08 11:22:00
