email,first_name,last_name,city,phone_number,source_system,timestamp
user577@test.com,Charlie,Williams,,0798765432,instagram,2024-09-22 00:00:00
user783@test.com,Frank,Smith,,0798765432,google,2024-03-12 00:00:00
user211@test.com,Charlie,Williams,Bristol,,linkedin,2024-07-01 00:00:00
user714@test.com,Bob,Williams,Manchester,0788888888,facebook,2024-09-24 00:00:00
user578@test.com,Frank,Williams,Manchester,0788888888,google,2024-09-15 00:00:00
user1026@test.com,Bob,Johnson,London,,google,2025-02-25 00:00:00
user1447@test.com,Eve,Brown,London,0712345678,linkedin,2025-08-07 00:00:00
user847@test.com,Frank,Brown,Leeds,0712345678,instagram,2024-08-03 00:00:00
user1055@test.com,Eve,Brown,Bristol,,google,2024-02-20 00:00:00
user1112@test.com,Alice,Taylor,Manchester,0798765432,linkedin,2024-11-14 00:00:00
user289@test.com,Diana,Smith,London,,instagram,2024-09-09 00:00:00
user1456@test.com,Alicia,Williams,Leeds,,linkedin,2025-03-03 00:00:00
user969@test.com,Diana,Johnson,London,,google,2024-10-02 00:00:00
user1407@test.com,Frank,Johnson,London,0798765432,facebook,2025-03-29 00:00:00
user1837@test.com,Alicia,Williams,London,0788888888,google,2025-06-23 00:00:00
user1290@test.com,Eve,Taylor,,,facebook,2024-12-07 00:00:00
user1074@test.com,Bob,Taylor,Leeds,0798765432,google,2024-05-05 00:00:00
user185@test.com,Diana,Johnson,Leeds,0798765432,linkedin,2024-07-01 00:00:00
user544@test.com,Alice,Smith,Bristol,,google,2025-02-08 00:00:00
user117@test.com,Frank,Johnson,Leeds,,instagram,2024-04-03 00:00:00
user11@test.com,Alice,Smith,,0712345678,instagram,2025-03-09 00:00:00
user189@test.com,Alicia,Williams,Manchester,0798765432,linkedin,2024-10-16 00:00:00
user940@test.com,Alice,Smith,,0798765432,google,2024-08-18 00:00:00
user1053@test.com,Frank,Johnson,Manchester,,google,2024-07-30 00:00:00
user1558@test.com,Bob,Smith,Leeds,0788888888,linkedin,2024-11-30 00:00:00
user847@test.com,Alice,Brown,Leeds,0712345678,facebook,2025-04-23 00:00:00
user1596@test.com,Charlie,Taylor,Manchester,0712345678,facebook,2024-06-12 00:00:00
user1996@test.com,Bob,Smith,Manchester,,linkedin,2024-04-17 00:00:00
user451@test.com,Bob,Smith,Manchester,0788888888,linkedin,2025-06-12 00:00:00
user397@test.com,Charlie,Taylor,London,0712345678,google,2025-01-29 00:00:00
user768@test.com,Eve,Taylor,,0798765432,facebook,2024-03-17 00:00:00
user1424@test.com,Alicia,Johnson,Leeds,0712345678,linkedin,2025-06-29 00:00:00
user1156@test.com,Frank,Johnson,London,0712345678,linkedin,2024-05-05 00:00:00
user1206@test.com,Eve,Taylor,Bristol,,google,2024-03-02 00:00:00
user540@test.com,Bob,Brown,Bristol,,linkedin,2025-01-04 00:00:00
user451@test.com,Bob,Smith,Manchester,0712345678,linkedin,2025-01-20 00:00:00
user52@test.com,Alice,Williams,Bristol,0712345678,linkedin,2024-12-23 00:00:00
user938@test.com,Frank,Taylor,Manchester,,instagram,2024-04-07 00:00:00
user62@test.com,Alicia,Brown,Leeds,0712345678,google,2024-10-26 00:00:00
user812@test.com,Bob,Williams,Bristol,0712345678,google,2024-07-19 00:00:00
user1004@test.com,Bob,Williams,Bristol,0712345678,instagram,2025-04-21 00:00:00
user721@test.com,Alicia,Williams,Bristol,,instagram,2024-07-17 00:00:00
